"Amanda";"0206,1026"
"Amarant";"1107,1207"
"Amaranta";"1107,1207"
"Amarilla";"0501"
"Amarillisz";"0501"
"Amát"
"Amáta";"0105,0220,0913"
"Amázia";"0123,1229"
"Ambos";"0719,1016,1017,1207"
"Ambró";"0719,1016,1017,1207"
"Ambróz";"0719,1016,1017,1207"
"Ambrózia";"1207"
"Ambrus";"0719,1016,1018,1207"
"Ambustán"
"Amélia";"0104,0504,0602"
"Amelita";"0816"
"Amerigo"
"Ametiszt";"1026"
"Amilla";"0128,0504,0710"
"Amina";"0831,1127"
"Aminta";"0130,0817"
"Amira";"0831"
"Ámon";"0114,1004"
"Ámor";"0206"
"Ámos";"0114"
"Amrita";"1207"
"Amy"
"Anada";"0726"
"Anaisz";"0310"
"Anasztáz";"0106,0108,0310,0421,0427,1225"
"Anasztázia";"0310,0417,1225"
"Anatol";"0703"
"Anatólia";"0703"
"Anci"
"Ancilla";"0325,1223"
"Anda";"0219"
"Andelin";"0127"
"Andelina";"0127"
"Anderz";"0204,0521"
"Andor";"0517,1009,1011,1130"
"Andorás";"0204,0521,1110,1130"
"Andorjás";"0204,0521,1110,1130"
"Andos";"0204"
"András";"0204,0521,1110,1130"
"André";"0204,0521,1110,1130"
"Andrea";"0204,0418"
"Androméda";"0204"
"Anélia";"0726"
"Anelma";"1202"
"Anéta";"0613,0726"
"Anett";"0613,0726"
"Anetta";"0613,0726"
"Anettka";"0613,0726"
"Angéla";"0104,0531,0601,0721"
"Angelika";"0127"
"Angelina";"0721"
"Angelus";"0505"
"Angelusz";"0505"
"Angyal";"0104,0127,0531"
"Angyalka";"0104,0127,0531"
"Ángyán";"0425,1115,1207"
"Anica";"0726"
"Anicét";"0417"
"Anics";"0308"
"Aniella";"0726"
"Anika";"0726"
"Anikó";"0726,1222"
"Anilla";"0701,0726"
"Anina";"0726"
"Anissza";"0121"
"Anita";"0602,0726"
"Anitra";"0726"
"Anízia";"1230"
"Aníziusz";"1230"
"Anka";"0726"
"Anna";"0219,0602,0613,0701,0726"
"Annabell";"0609,0701"
"Annabella";"0609,0701"
"Annaliza";"0708,0726"
"Annamari";"0609,0701"
"Annamária";"0609,0701"
"Annarita";"0522,0726"
"Annavera";"0609"
"Anneli";"0726"
"Anni";"0726"
"Anne";"0726"
"Annunciáta";"0325"
"Antal";"0117,0613,0705"
"Antea";"0227"
"Antigon";"0223"
"Antigoné";"0227,0613"
"Anton";"0117,0613,0705"
"Antonella";"0503"
"Antónia";"0117,0228,0429,0503,0504,0510"
"Antoniett";"0228"
"Antonietta";"0228"
"Antonió"
"Antos";"0117,0613,0705"
"Anzelm";"0421"
"Anzelma";"0421"
"Ányos";"0425,1115,1207"
"Apol";"0128,0209,0308,0707"
"Apolka";"0128,0209,0308,0707"
"Apollinár";"0108,0723,0902,1005"
"Apollinária";"0108,0723"
"Apolló";"0308,0418"
"Apollónia";"0128,0209,0308,0707"
"Apor";"0202,1228"
"Aporka";"0202"
"Apostol";"0125,0630"
"Appia";"0323"
"Áprilka";"0323,1122"
"Apród";"1228"
"Apszik"
"Arabella";"0313,0807"
"Aracs";"0308"
"Arad";"0308"
"Aramisz";"0308"
"Aranka";"0208,0719,1004,1015,1016,1202"
"Arany";"0616,0719,1004"
"Aranyos"
"Árboc"
"Árboz"
"Archi"
"Archibald";"0327"
"Ardó";"0112"
"Arétász";"1024"
"Ariadna";"0607,0917"
"Ariadné";"0607,0917"
"Arián";"0304"
"Arianna";"0607,0917"
"Ariel";"0411,1110"
"Ariéla";"0411,1110"
"Ariella";"0411,1110"
"Arienn";"0607,0917"
"Arietta";"0411,1110"
"Arika";"0817"
"Arikán";"0817"
"Arina";"0208,0719,1004"
"Arion";"0203"
"Aripeit"
"Árisz";"0427,0831"
"Arisztid";"0427,0831"
"Arita";"0313"
"Ariton";"0203"
"Arkád";"0112,1113"
"Árkád";"0112,1113"
"Árkos";"0112"
"Arló";"0808"
"Arlen";"0411"
"Arlett";"0411"
"Armand";"0407,0510,1026"
"Armanda";"0407,0510"
"Armandina";"0407,0510"
"Armida";"0914,0922,1204"
"Armilla";"0914,0922,1204"
"Ármin";"0407,0510,0602,1228"
"Ármina";"0602"
"Árnika";"0417"
"Arnó";"0618,0718,1201"
"Arnold";"0618,0718,1201"
"Arnolda";"0708,0718"
"Arnót";"0618,0718,1201"
"Arnwald";"0618,0718,1201"
"Áron";"0402,0701"
"Árpád";"0105,0331,0407,1211"
"Árpádina";"1211"
"Arszák";"0303"
"Arszlán";"0623"
"Artemisz";"0122,0606"
